 

stn;time;gor000za
WSLBAF;200001061640;0
WSLBAF;200001061650;0
WSLBAF;200001061700;0
WSLBAF;200001061710;0
WSLBAF;200001061720;0
WSLBAF;200001061730;0
WSLBAF;200001061740;0
WSLBAF;200001061750;0
WSLBAF;200001061800;0
WSLBAF;200001061810;0
WSLBAF;200001061820;0
WSLBAF;200001061830;0
WSLBAF;200001061840;0
WSLBAF;200001061850;0
WSLBAF;200001061900;0
WSLBAF;200001061910;0
WSLBAF;200001061920;0
WSLBAF;200001061930;0
WSLBAF;200001061940;0
WSLBAF;200001061950;0
WSLBAF;200001062000;0
WSLBAF;200001062010;0
WSLBAF;200001062020;0
WSLBAF;200001062030;0
WSLBAF;200001062040;0
WSLBAF;200001062050;0
WSLBAF;200001062100;0
WSLBAF;200001062110;0
WSLBAF;200001062120;0
WSLBAF;200001062130;0
WSLBAF;200001062140;0
WSLBAF;200001062150;0
WSLBAF;200001062200;0
WSLBAF;200001062210;0
WSLBAF;200001062220;0
WSLBAF;200001062230;0
WSLBAF;200001062240;0
WSLBAF;200001062250;0
WSLBAF;200001062300;0
WSLBAF;200001062310;0
WSLBAF;200001062320;0
WSLBAF;200001062330;0
WSLBAF;200001062340;0
WSLBAF;200001062350;0
WSLBAF;200001070000;0
WSLBAF;200001070010;0
WSLBAF;200001070020;0
WSLBAF;200001070030;0
WSLBAF;200001070040;0
WSLBAF;200001070050;0
WSLBAF;200001070100;0
WSLBAF;200001070110;0
WSLBAF;200001070120;0
WSLBAF;200001070130;0
WSLBAF;200001070140;0
WSLBAF;200001070150;0
WSLBAF;200001070200;0
WSLBAF;200001070210;0
WSLBAF;200001070220;0
WSLBAF;200001070230;0
WSLBAF;200001070240;0
WSLBAF;200001070250;0
WSLBAF;200001070300;0
WSLBAF;200001070310;0
WSLBAF;200001070320;0
WSLBAF;200001070330;0
WSLBAF;200001070340;0
WSLBAF;200001070350;0
WSLBAF;200001070400;0
WSLBAF;200001070410;0
WSLBAF;200001070420;0
WSLBAF;200001070430;0
WSLBAF;200001070440;0
WSLBAF;200001070450;0
WSLBAF;200001070500;0
WSLBAF;200001070510;0
WSLBAF;200001070520;0
WSLBAF;200001070530;0
WSLBAF;200001070540;0
WSLBAF;200001070550;0
WSLBAF;200001070600;0
WSLBAF;200001070610;0
WSLBAF;200001070620;0
WSLBAF;200001070630;0
WSLBAF;200001070640;0
WSLBAF;200001070650;0
WSLBAF;200001070700;0
WSLBAF;200001070710;1
WSLBAF;200001070720;0
WSLBAF;200001070730;1
WSLBAF;200001070740;1
WSLBAF;200001070750;1
WSLBAF;200001070800;2
WSLBAF;200001070810;19
WSLBAF;200001070820;31
WSLBAF;200001070830;35
WSLBAF;200001070840;6
WSLBAF;200001070850;6
WSLBAF;200001070900;6
WSLBAF;200001070910;6
WSLBAF;200001070920;5
WSLBAF;200001070930;5
WSLBAF;200001070940;5
WSLBAF;200001070950;4
WSLBAF;200001071000;4
WSLBAF;200001071010;4
WSLBAF;200001071020;3
WSLBAF;200001071030;3
WSLBAF;200001071040;3
WSLBAF;200001071050;2
WSLBAF;200001071100;2
WSLBAF;200001071110;1
WSLBAF;200001071120;1
WSLBAF;200001071130;1
WSLBAF;200001071140;1
WSLBAF;200001071150;1
WSLBAF;200001071200;1
WSLBAF;200001071210;2
WSLBAF;200001071220;2
WSLBAF;200001071230;3
WSLBAF;200001071240;3
WSLBAF;200001071250;3
WSLBAF;200001071300;4
WSLBAF;200001071310;4
WSLBAF;200001071320;4
WSLBAF;200001071330;5
WSLBAF;200001071340;5
WSLBAF;200001071350;5
WSLBAF;200001071400;5
WSLBAF;200001071410;6
WSLBAF;200001071420;6
WSLBAF;200001071430;6
WSLBAF;200001071440;5
WSLBAF;200001071450;5
WSLBAF;200001071500;7
WSLBAF;200001071510;8
WSLBAF;200001071520;7
WSLBAF;200001071530;6
WSLBAF;200001071540;8
WSLBAF;200001071550;1
WSLBAF;200001071600;1
WSLBAF;200001071610;1
WSLBAF;200001071620;0
WSLBAF;200001071630;0
WSLBAF;200001071640;0
WSLBAF;200001071650;0
WSLBAF;200001071700;0
WSLBAF;200001071710;0
WSLBAF;200001071720;0
WSLBAF;200001071730;0
WSLBAF;200001071740;0
WSLBAF;200001071750;0
WSLBAF;200001071800;0
WSLBAF;200001071810;0
WSLBAF;200001071820;0
WSLBAF;200001071830;0
WSLBAF;200001071840;0
WSLBAF;200001071850;0
WSLBAF;200001071900;0
WSLBAF;200001071910;0
WSLBAF;200001071920;0
WSLBAF;200001071930;0
WSLBAF;200001071940;0
WSLBAF;200001071950;0
WSLBAF;200001072000;0
WSLBAF;200001072010;0
WSLBAF;200001072020;0
WSLBAF;200001072030;0
WSLBAF;200001072040;0
WSLBAF;200001072050;0
WSLBAF;200001072100;0
WSLBAF;200001072110;0
WSLBAF;200001072120;0
WSLBAF;200001072130;0
WSLBAF;200001072140;0
